ID	LAT	LNG	BANCO	RED	DOM_ORIG	DOM_GEO	TERMINALES	WEB	ACTUALIZAC	DOM_NORMA	BARRIO	COMUNA	CODIGO_POSTAL	CODIGO_POSTAL_ARGENTINO
482	-34.6329357934	-58.4791581937	BANCO SANTANDER RIO	BANELCO	AV.RIVADAVIA 8201	8201 RIVADAVIA AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	RIVADAVIA AV. 8201	FLORESTA	COMUNA 10	1407	C1407DYE
485	-34.594850782	-58.4001856694	HSBC ARGENTINA	BANELCO	AV.SANTA FE 2321	2321 SANTA FE AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	SANTA FE AV. 2321	RECOLETA	COMUNA 2	1123	C1123AAF
486	-34.589740674	-58.4089497468	HSBC ARGENTINA	BANELCO	AV.SANTA FE 3117	3117 SANTA FE AV.	3	HTTP://WWW.BANELCO.COM/	MAR-15	SANTA FE AV. 3117	RECOLETA	COMUNA 2	1425	C1425BGG
487	-34.5823968219	-58.4203203546	BANCO COMAFI	BANELCO	AV.SANTA FE 4018	4018 SANTA FE AV.	3	HTTP://WWW.BANELCO.COM/	MAR-15	SANTA FE AV. 4018	PALERMO	COMUNA 14	1425	C1425BHP
488	-34.5951485675	-58.3811092257	BANCO GALICIA	BANELCO	AV.SANTA FE 975	975 SANTA FE AV.	3	HTTP://WWW.BANELCO.COM/	MAR-15	SANTA FE AV. 975	RETIRO	COMUNA 1	1059	C1059ABD
489	-34.6003915974	-58.4392419048	BANCO SUPERVIELLE	BANELCO	AV.SCALABRINI ORTIZ 249	249 SCALABRINI ORTIZ, RAUL AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	SCALABRINI ORTIZ, RAUL AV. 249	VILLA CRESPO	COMUNA 15	1414	C1414DNC
490	-34.577899445	-58.4811778254	BBVA-BANCO FRANCES	BANELCO	AV.TRIUNVIRATO 4274	4274 TRIUNVIRATO AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	TRIUNVIRATO AV. 4274	VILLA URQUIZA	COMUNA 12	1431	C1431FBS
491	-34.5765419897	-58.4831545801	BANCO ITAU	BANELCO	AV.TRIUNVIRATO 4410	4410 TRIUNVIRATO AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	TRIUNVIRATO AV. 4410	VILLA URQUIZA	COMUNA 12	1431	C1431FBU
492	-34.5761705744	-58.4837562222	BANCO GALICIA	BANELCO	AV.TRIUNVIRATO 4458	4458 TRIUNVIRATO AV.	3	HTTP://WWW.BANELCO.COM/	MAR-15	TRIUNVIRATO AV. 4458	VILLA URQUIZA	COMUNA 12	1431	C1431FBU
493	-34.570911208	-58.4904362974	BBVA-BANCO FRANCES	BANELCO	AV.TRIUNVIRATO 5201	5201 TRIUNVIRATO AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	TRIUNVIRATO AV. 5201	VILLA URQUIZA	COMUNA 12	1431	C1431FCF
494	-34.5638034456	-58.4967087434	BANCO SANTANDER RIO	BANELCO	AV.TRIUNVIRATO Y LARRALDE	TRIUNVIRATO AV. & LARRALDE, CRISOLOGO AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	TRIUNVIRATO AV. Y LARRALDE, CRISOLOGO AV.	VILLA URQUIZA	COMUNA 12		
495	-34.5828658133	-58.3999127939	BANCO ITAU	BANELCO	AVDA.DEL LIBERTADOR 1850	1850 DEL LIBERTADOR AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	DEL LIBERTADOR AV. 1850	PALERMO	COMUNA 14	1425	C1425AAR
496	-34.63147992	-58.4695262372	BBVA-BANCO FRANCES	BANELCO	AVENIDA SAN PEDRITO 49	49 SAN PEDRITO AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	SAN PEDRITO AV. 49	FLORES	COMUNA 7	1406	C1406EXA
497	-34.6397364656	-58.3713165927	BANCO PATAGONIA	BANELCO	AZARA 841	841 AZARA	1	HTTP://WWW.BANELCO.COM/	MAR-15	AZARA 841	BARRACAS	COMUNA 4	1267	C1267ABQ
498	-34.5524694152	-58.4650960423	ICBC	BANELCO	AV. CABILDO 3223	3223 CABILDO AV.	1	HTTP://WWW.BANELCO.COM/	MAR-15	CABILDO AV. 3223	NUÑEZ	COMUNA 13	1429	C1429AAD
499	-34.6093782454	-58.3835521605	ICBC	BANELCO	AV. DE MAYO 1202	1202 DE MAYO AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	DE MAYO AV. 1202	MONSERRAT	COMUNA 1	1085	C1085ABP
500	-34.6197797025	-58.439327389	ICBC	BANELCO	AV. RIVADAVIA 5234	5234 RIVADAVIA AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	RIVADAVIA AV. 5234	CABALLITO	COMUNA 6	1424	C1424CEU
501	-34.5880000689	-58.4119993149	ICBC	BANELCO	AV. SANTA FE 3316	3316 SANTA FE AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	SANTA FE AV. 3316	PALERMO	COMUNA 14	1425	C1425BGV
502	-34.6042117278	-58.4103095587	BANCO PATAGONIA	BANELCO	AV.CORRIENTES 3200	3200 CORRIENTES AV.	2	HTTP://WWW.BANELCO.COM/	MAR-15	CORRIENTES AV. 3200	BALVANERA	COMUNA 3	1193	C1193AAQ
503	-34.6086877581	-58.4063255572	BANCO COMAFI	BANELCO	BARTOLOME MITRE 2815	2815 MITRE, BARTOLOME	2	HTTP://WWW.BANELCO.COM/	MAR-15	MITRE, BARTOLOME 2815	BALVANERA	COMUNA 3	1201	C1201AAA
504	-34.60688248	-58.3727053453	BANCO SUPERVIELLE	BANELCO	BARTOLOME MITRE 434	434 MITRE, BARTOLOME	4	HTTP://WWW.BANELCO.COM/	MAR-15	MITRE, BARTOLOME 434	SAN NICOLAS	COMUNA 1	1036	C1036AAH
505	-34.6069837987	-58.3740454432	CITIBANK	BANELCO	BARTOLOME MITRE 530 PB	530 MITRE, BARTOLOME	1	HTTP://WWW.BANELCO.COM/	MAR-15	MITRE, BARTOLOME 530	SAN NICOLAS	COMUNA 1	1036	C1036AAJ
